Winner,Visitor,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Home,OFG%,O3P%,O2P%,OFT%,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,17,0.428,0.337,0.458,0.763265306122449,11.7,32.8,21,8.3,3.6,16.2,18.8,99.9
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,1,0.449,0.35,0.487,0.757085020242915,11.5,34.8,23.7,9.5,5.5,16.8,20.2,101
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,23,0.442,0.351,0.478,0.741293532338308,10.5,31.9,20.1,7.4,5.2,15.3,20.3,95.1
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,25,0.435,0.345,0.465,0.188128772635815,9.8,33,19.9,7.5,4.7,12.7,21.4,97
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,15,0.463,0.368,0.499,0.751091703056769,10.1,33.4,23.4,7.7,5.4,14.5,17.9,101.4
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,17,0.428,0.337,0.458,0.763265306122449,11.7,32.8,21,8.3,3.6,16.2,18.8,99.9
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,30,0.439,0.338,0.468,0.755980861244019,11,33.6,20.4,8,3.6,12.2,18.7,98.6
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,13,0.439,0.341,0.483,0.766169154228856,11.6,32.1,23.5,7.4,4.9,16.1,19.6,97.1
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,16,0.45,0.364,0.485,0.755458515283843,12.3,33.9,22.3,7.3,3.8,16.3,22.1,102.3
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,30,0.439,0.338,0.468,0.755980861244019,11,33.6,20.4,8,3.6,12.2,18.7,98.6
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,20,0.45,0.336,0.49,0.755364806866953,10.9,33.8,21.9,7.1,5.3,15.1,18.8,101.2
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,8,0.456,0.343,0.497,0.743718592964824,10.8,30.3,24.1,7.8,4.5,13.3,20.5,98.7
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,29,0.435,0.335,0.465,0.747619047619048,11.7,31.7,20.2,7.5,5.4,12.2,21.2,97.8
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,26,0.46,0.38,0.49,0.188128772635815,11,32.5,21.7,8,4.3,14.1,19.1,101.2
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,19,0.442,0.349,0.481,0.739299610894942,10.6,32.3,23.2,6.7,3,14.3,21.5,100.1
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,14,0.443,0.322,0.487,0.75,11.9,32,21.4,8.9,5.3,16.4,21.1,100.5
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,17,0.428,0.337,0.458,0.763265306122449,11.7,32.8,21,8.3,3.6,16.2,18.8,99.9
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,16,0.45,0.364,0.485,0.755458515283843,12.3,33.9,22.3,7.3,3.8,16.3,22.1,102.3
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,6,0.44,0.357,0.47,0.774509803921569,8.9,35.2,22.1,6.1,5.4,12.6,20.8,97.3
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,9,0.433,0.349,0.465,0.738396624472574,10,31.7,19.9,8,4.3,14,19.6,97.8
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,21,0.444,0.36,0.468,0.742990654205608,9.9,32.2,20.7,7.9,4.4,14.2,19.7,97
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,27,0.452,0.352,0.486,0.188128772635815,11.6,33.7,21.1,7.9,4.1,15.6,20.3,103.3
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,7,0.44,0.343,0.479,0.742857142857143,11.2,31.5,22.1,7.8,4.6,13.6,20.4,101.8
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,18,0.459,0.346,0.501,0.731914893617021,11.2,31.2,22.8,6.9,5,14.4,20.3,100.9
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,7,0.44,0.343,0.479,0.742857142857143,11.2,31.5,22.1,7.8,4.6,13.6,20.4,101.8
